busnum,model,width
1101,VAN HOOL A330,   40FT
1102,VAN HOOL A330,   40FT
1103,VAN HOOL A330,   40FT
1104,VAN HOOL A330,   40FT
1105,VAN HOOL A330,   40FT
1106,VAN HOOL A330,   40FT
1107,VAN HOOL A330,   40FT
1108,VAN HOOL A330,   40FT
1109,VAN HOOL A330,   40FT
1110,VAN HOOL A330,   40FT
1111,VAN HOOL A330,   40FT
1112,VAN HOOL A330,   40FT
1113,VAN HOOL A330,   40FT
1114,VAN HOOL A330,   40FT
1115,VAN HOOL A330,   40FT
1116,VAN HOOL A330,   40FT
1117,VAN HOOL A330,   40FT
1118,VAN HOOL A330,   40FT
1119,VAN HOOL A330,   40FT
1120,VAN HOOL A330,   40FT
1121,VAN HOOL A330,   40FT
1122,VAN HOOL A330,   40FT
1123,VAN HOOL A330,   40FT
1124,VAN HOOL A330,   40FT
1125,VAN HOOL A330,   40FT
1126,VAN HOOL A330,   40FT
1127,VAN HOOL A330,   40FT
1128,VAN HOOL A330,   40FT
1129,VAN HOOL A330,   40FT
1130,VAN HOOL A300K,   30FT
1131,VAN HOOL A300K,   30FT
1132,VAN HOOL A300K,   30FT
1133,VAN HOOL A300K,   30FT
1134,VAN HOOL A300K,   30FT
1135,VAN HOOL A300K,   30FT
1136,VAN HOOL A300K,   30FT
1137,VAN HOOL A300K,   30FT
1138,VAN HOOL A300K,   30FT
1139,VAN HOOL A300K,   30FT
1140,VAN HOOL A300K,   30FT
1141,VAN HOOL A300K,   30FT
1142,VAN HOOL A300K,   30FT
1143,VAN HOOL A300K,   30FT
1144,VAN HOOL,N/A
1145,VAN HOOL,N/A
1146,VAN HOOL,N/A
1147,VAN HOOL,N/A
1148,VAN HOOL,N/A
1149,VAN HOOL,N/A
