busnum,qr,url
1101,http://qr.dc.gov/b1101,http://circulator.dc.gov/bus/1101
1102,http://qr.dc.gov/b1102,http://circulator.dc.gov/bus/1102
1103,http://qr.dc.gov/b1103,http://circulator.dc.gov/bus/1103
1104,http://qr.dc.gov/b1104,http://circulator.dc.gov/bus/1104
1105,http://qr.dc.gov/b1105,http://circulator.dc.gov/bus/1105
1106,http://qr.dc.gov/b1106,http://circulator.dc.gov/bus/1106
1107,http://qr.dc.gov/b1107,http://circulator.dc.gov/bus/1107
1108,http://qr.dc.gov/b1108,http://circulator.dc.gov/bus/1108
1109,http://qr.dc.gov/b1109,http://circulator.dc.gov/bus/1109
1110,http://qr.dc.gov/b1110,http://circulator.dc.gov/bus/1110
1111,http://qr.dc.gov/b1111,http://circulator.dc.gov/bus/1111
1112,http://qr.dc.gov/b1112,http://circulator.dc.gov/bus/1112
1113,http://qr.dc.gov/b1113,http://circulator.dc.gov/bus/1113
1114,http://qr.dc.gov/b1114,http://circulator.dc.gov/bus/1114
1115,http://qr.dc.gov/b1115,http://circulator.dc.gov/bus/1115
1116,http://qr.dc.gov/b1116,http://circulator.dc.gov/bus/1116
1117,http://qr.dc.gov/b1117,http://circulator.dc.gov/bus/1117
1118,http://qr.dc.gov/b1118,http://circulator.dc.gov/bus/1118
1119,http://qr.dc.gov/b1119,http://circulator.dc.gov/bus/1119
1120,http://qr.dc.gov/b1120,http://circulator.dc.gov/bus/1120
1121,http://qr.dc.gov/b1121,http://circulator.dc.gov/bus/1121
1122,http://qr.dc.gov/b1122,http://circulator.dc.gov/bus/1122
1123,http://qr.dc.gov/b1123,http://circulator.dc.gov/bus/1123
1124,http://qr.dc.gov/b1124,http://circulator.dc.gov/bus/1124
1125,http://qr.dc.gov/b1125,http://circulator.dc.gov/bus/1125
1126,http://qr.dc.gov/b1126,http://circulator.dc.gov/bus/1126
1127,http://qr.dc.gov/b1127,http://circulator.dc.gov/bus/1127
1128,http://qr.dc.gov/b1128,http://circulator.dc.gov/bus/1128
1129,http://qr.dc.gov/b1129,http://circulator.dc.gov/bus/1129
1130,http://qr.dc.gov/b1130,http://circulator.dc.gov/bus/1130
1131,http://qr.dc.gov/b1131,http://circulator.dc.gov/bus/1131
1132,http://qr.dc.gov/b1132,http://circulator.dc.gov/bus/1132
1133,http://qr.dc.gov/b1133,http://circulator.dc.gov/bus/1133
1134,http://qr.dc.gov/b1134,http://circulator.dc.gov/bus/1134
1135,http://qr.dc.gov/b1135,http://circulator.dc.gov/bus/1135
1136,http://qr.dc.gov/b1136,http://circulator.dc.gov/bus/1136
1137,http://qr.dc.gov/b1137,http://circulator.dc.gov/bus/1137
1138,http://qr.dc.gov/b1138,http://circulator.dc.gov/bus/1138
1139,http://qr.dc.gov/b1139,http://circulator.dc.gov/bus/1139
1140,http://qr.dc.gov/b1140,http://circulator.dc.gov/bus/1140
1141,http://qr.dc.gov/b1141,http://circulator.dc.gov/bus/1141
1142,http://qr.dc.gov/b1142,http://circulator.dc.gov/bus/1142
1143,http://qr.dc.gov/b1143,http://circulator.dc.gov/bus/1143
1144,http://qr.dc.gov/b1144,http://circulator.dc.gov/bus/1144
1145,http://qr.dc.gov/b1145,http://circulator.dc.gov/bus/1145
1146,http://qr.dc.gov/b1146,http://circulator.dc.gov/bus/1146
1147,http://qr.dc.gov/b1147,http://circulator.dc.gov/bus/1147
1148,http://qr.dc.gov/b1148,http://circulator.dc.gov/bus/1148
1149,http://qr.dc.gov/b1149,http://circulator.dc.gov/bus/1149
