stopid,route,stopname,corner,pole,single_spinny,double_spinny,flag,shelter
1,UNION STATION - GEORGETOWN ROUTE (Westbound),Union Station -  Mezzanine Level of Parking Deck,,,,,N,
2,UNION STATION - GEORGETOWN ROUTE (Westbound),Massachusetts Ave. NW/ N. Capitol St.,northeast,upole,N,N,Y,NEW
3,UNION STATION - GEORGETOWN ROUTE (Westbound),Massachusetts Ave. NW/NJ Ave. ,northwest,black,Y,N,Y,NEW
4,UNION STATION - GEORGETOWN ROUTE (Westbound),Massachusetts Ave. NW/5th St. ,northeast,black,Y,N,N,No
5,UNION STATION - GEORGETOWN ROUTE (Westbound),Massachusetts Ave. NW/7th St. ,northeast,black,Y,N,Y,No
6,UNION STATION - GEORGETOWN ROUTE (Westbound),New York Ave. NW/9th St.,northwest,lightpole,Y,N,Y,No
7,UNION STATION - GEORGETOWN ROUTE (Westbound),K Street NW (main rdwy.)/12th St. ,northwest,black,Y,N,Y,No
8,UNION STATION - GEORGETOWN ROUTE (Westbound),K Street NW/14th St. ,northwest,black,N,Y,Y,NEW
9,UNION STATION - GEORGETOWN ROUTE (Westbound),K Street NW/16th St. ,northwest,black,N,Y,Y,NEW
10,UNION STATION - GEORGETOWN ROUTE (Westbound),K Street NW/Connecticut Ave. (17th St.),northeast,black,N,Y,Y,NEW
11,UNION STATION - GEORGETOWN ROUTE (Westbound),K Street NW (main rdwy.)/18th St. ,northeast,black,N,N,Y,NEW
12,UNION STATION - GEORGETOWN ROUTE (Westbound),K Street NW/19th St. ,northeast,black,Y,N,N,NEW
13,UNION STATION - GEORGETOWN ROUTE (Westbound),K Street NW/20th St.,northeast ,upole,N,N,Y,NEW
14,UNION STATION - GEORGETOWN ROUTE (Westbound),21th Street/between K St. & Pennsylvania Ave.,northeast mid-block,lightpole,N,N,Y,No
15,UNION STATION - GEORGETOWN ROUTE (Westbound),Pennsylvania Avenue NW/22nd Street/Washington Circle ,northeast,upole,N,N,Y,No
130,UNION STATION - GEORGETOWN ROUTE (Westbound),Lower K Street NW/30th St.,northeast,no pole,N,N,?,No
131,UNION STATION - GEORGETOWN ROUTE (Westbound),Lower K Street NW/Wisconsin Ave.,Just west of Loew's Theater entrance,no pole,N,N,?,No
132,UNION STATION - GEORGETOWN ROUTE (Westbound),Wisconsin Ave./M St. NW,northeast,????,N,N,?,No
21,UNION STATION - GEORGETOWN ROUTE (Westbound),Wisconsin Ave./ N St. ,northeast ,lightpole,N,N,Y,No
22,UNION STATION - GEORGETOWN ROUTE (Westbound),Wisconsin Ave./Dumbarton St.,northeast ,lightpole,N,N,Y,No
23,UNION STATION - GEORGETOWN ROUTE (Westbound),Wisconsin Ave./P St. ,northeast,lightpole,N,N,Y,No
24,UNION STATION - GEORGETOWN ROUTE (Westbound),Wisconsin Ave./Q St. ,northeast,other,N,N,Y,No
25,UNION STATION - GEORGETOWN ROUTE (Westbound),Wisconsin Ave./34th St. ,northeast mid-block,upole,N,N,Y,No
27,GEORGETOWN - UNION STATION ROUTE (Eastbound),Wisconsin Ave./34th St. ,southwest,upole,N,N,Y,OLD
28,GEORGETOWN - UNION STATION ROUTE (Eastbound),Wisconsin Ave./Q St. ,northwest ,upole,N,N,Y,No
29,GEORGETOWN - UNION STATION ROUTE (Eastbound),Wisconsin Ave./P St.,northwest ,lightpole,N,N,Y,No
30,GEORGETOWN - UNION STATION ROUTE (Eastbound),Wisconsin Ave./O St. ,southwest mid-block ,lightpole,N,N,Y,No
31,GEORGETOWN - UNION STATION ROUTE (Eastbound), M Street NW/Wisconsin Ave. ,southeast mid-block ,lightpole,N,N,Y,No
32,GEORGETOWN - UNION STATION ROUTE (Eastbound),M Street NW/Thomas Jefferson St. ,southwest,lightpole,N,N,Y,No
33,GEORGETOWN - UNION STATION ROUTE (Eastbound),Pennsylvania Ave. NW/28th St. ,southwest,lightpole,N,N,Y,No
34,GEORGETOWN - UNION STATION ROUTE (Eastbound),Pennsylvania Ave NW/26th St. ,southwest,none,N,N,N,NEW
